t_s,reward_t,episode_return,num_intersections,totalQ_list,avg_delay_list,accidents_list,num_accident_clusters,max_cluster_size
773.0,-6376.778718860329,-2376774.9663075767,4,538.5682;1763.3868;1560.0029;1082.2033,1538.7663;5038.2479;4457.1512;3092.0095,1;1;1;1,0,0
774.0,-6388.157631123555,-2383163.1239387,4,539.9645;1765.7771;1562.8152;1084.4547,1542.7557;5045.0775;4465.1862;3098.4420,1;1;1;1,0,0
775.0,-6399.536762793748,-2389562.6607014937,4,541.3608;1768.1678;1565.6274;1086.7061,1546.7450;5051.9079;4473.2210;3104.8744,1;1;1;1,0,0
776.0,-6410.916112659195,-2395973.5768141528,4,542.7569;1770.5587;1568.4395;1088.9574,1550.7341;5058.7391;4481.2557;3111.3069,1;1;1;1,0,0
777.0,-6422.295679516839,-2402395.8724936694,4,544.1531;1772.9499;1571.2515;1091.2088,1554.7231;5065.5711;4489.2900;3117.7394,1;1;1;1,0,0
778.0,-6433.675462172195,-2408829.5479558418,4,545.5492;1775.3414;1574.0635;1093.4602,1558.7119;5072.4040;4497.3242;3124.1719,1;1;1;1,0,0
779.0,-6445.055459439283,-2415274.603415281,4,546.9452;1777.7332;1576.8754;1095.7116,1562.7006;5079.2377;4505.3582;3130.6045,1;1;1;1,0,0
780.0,-6456.435670140554,-2421731.0390854217,4,548.3412;1780.1253;1579.6872;1097.9630,1566.6892;5086.0722;4513.3920;3137.0370,1;1;1;1,0,0
781.0,-6467.816093106809,-2428198.8551785285,4,549.7372;1782.5176;1582.4989;1100.2143,1570.6776;5092.9076;4521.4255;3143.4696,1;1;1;1,0,0
782.0,-6479.196727177133,-2434678.0519057056,4,551.1330;1784.9103;1585.3106;1102.4657,1574.6659;5099.7437;4529.4588;3149.9021,1;1;1;1,0,0
783.0,-6490.577571198826,-2441168.6294769044,4,552.5289;1787.3032;1588.1222;1104.7172,1578.6540;5106.5807;4537.4919;3156.3347,1;1;1;1,0,0
784.0,-6501.958624027324,-2447670.5881009316,4,553.9247;1789.6964;1590.9337;1106.9686,1582.6420;5113.4184;4545.5248;3162.7673,1;1;1;1,0,0
785.0,-6513.3398845261345,-2454183.9279854577,4,555.3204;1792.0899;1593.7451;1109.2200,1586.6298;5120.2570;4553.5575;3169.1999,1;1;1;1,0,0
786.0,-6524.721351566765,-2460708.6493370244,4,556.7161;1794.4837;1596.5565;1111.4714,1590.6175;5127.0963;4561.5900;3175.6325,1;1;1;1,0,0
787.0,-6536.103024028659,-2467244.752361053,4,558.1118;1796.8778;1599.3678;1113.7228,1594.6050;5133.9365;4569.6222;3182.0652,1;1;1;1,0,0
788.0,-6547.484900799117,-2473792.2372618522,4,559.5074;1799.2721;1602.1790;1115.9742,1598.5925;5140.7775;4577.6543;3188.4978,1;1;1;1,0,0
789.0,-6558.866980773242,-2480351.1042426256,4,560.9029;1801.6667;1604.9901;1118.2257,1602.5797;5147.6192;4585.6861;3194.9305,1;1;1;1,0,0
790.0,-6570.249262853862,-2486921.3535054796,4,562.2984;1804.0616;1607.8012;1120.4771,1606.5669;5154.4617;4593.7177;3201.3631,1;1;1;1,0,0
791.0,-6581.631745951471,-2493502.985251431,4,563.6938;1806.4568;1610.6122;1122.7285,1610.5539;5161.3051;4601.7492;3207.7958,1;1;1;1,0,0
792.0,-6593.01442898416,-2500095.9996804153,4,565.0892;1808.8522;1613.4231;1124.9800,1614.5407;5168.1491;4609.7804;3214.2285,1;1;1;1,0,0
793.0,-6604.397310877558,-2506700.396991293,4,566.4846;1811.2479;1616.2340;1127.2314,1618.5274;5174.9940;4617.8114;3220.6612,1;1;1;1,0,0
794.0,-6615.780390564759,-2513316.1773818578,4,567.8799;1813.6439;1619.0448;1129.4829,1622.5140;5181.8397;4625.8422;3227.0939,1;1;1;1,0,0
795.0,-6627.163666986263,-2519943.341048844,4,569.2752;1816.0401;1621.8555;1131.7343,1626.5004;5188.6861;4633.8727;3233.5267,1;1;1;1,0,0
796.0,-6638.547139089913,-2526581.888187934,4,570.6704;1818.4367;1624.6661;1133.9858,1630.4867;5195.5333;4641.9031;3239.9594,1;1;1;1,0,0
797.0,-5600.314739402275,-2532182.2029273366,4,572.0833;1820.8128;815.2174;1136.0202,1634.5237;5202.3222;2329.1926;3245.7720,1;1;0;1,0,0
798.0,-5611.511699981983,-2537793.7146273185,4,573.4962;1823.1893;818.1016;1138.0553,1638.5606;5209.1124;2337.4330;3251.5867,1;1;0;1,0,0
799.0,-5627.709815631004,-2543421.4244429497,4,574.9090;1825.5664;820.9855;1140.0911,1642.5972;5215.9040;2345.6730;3257.4032,1;1;1;1,0,0
800.0,-5638.909078874274,-2549060.333521824,4,576.3218;1827.9439;823.8693;1142.1276,1646.6337;5222.6968;2353.9124;3263.2218,1;1;1;1,0,0
801.0,-5650.109482298519,-2554710.4430041225,4,577.7345;1830.3218;826.7529;1144.1648,1650.6700;5229.4910;2362.1512;3269.0422,1;1;1;1,0,0
802.0,-5661.311018551644,-2560371.754022674,4,579.1471;1832.7003;829.6364;1146.2026,1654.7061;5236.2864;2370.3896;3274.8646,1;1;1;1,0,0
803.0,-5672.513680342129,-2566044.2677030163,4,580.5597;1835.0791;832.5196;1148.2411,1658.7420;5243.0832;2378.6274;3280.6889,1;1;1;1,0,0
804.0,-5683.717460438419,-2571727.985163455,4,581.9722;1837.4584;835.4026;1150.2803,1662.7778;5249.8812;2386.8647;3286.5151,1;1;1;1,0,0
805.0,-5320.237937127326,-2577048.223100582,4,292.4042;1839.3419;838.3105;1152.3507,835.4406;5255.2627;2395.1728;3292.4305,1;1;1;1,0,0
806.0,-5331.270889517012,-2582379.493990099,4,293.8222;1841.5264;841.2181;1154.4217,839.4920;5261.5041;2403.4803;3298.3477,1;1;1;1,0,0
807.0,-5342.305523316043,-2587721.799513415,4,295.2401;1843.7119;844.1255;1156.4934,843.5433;5267.7483;2411.7873;3304.2668,1;1;1;1,0,0
808.0,-5353.341828019006,-2593075.141341434,4,296.6580;1845.8984;847.0327;1158.5656,847.5943;5273.9953;2420.0936;3310.1875,1;1;1;1,0,0
809.0,-5364.379793205549,-2598439.5211346396,4,298.0758;1848.0858;849.9397;1160.6385,851.6452;5280.2451;2428.3992;3316.1101,1;1;1;1,0,0
810.0,-5375.419408539556,-2603814.9405431794,4,299.4935;1850.2741;852.8465;1162.7120,855.6959;5286.4975;2436.7043;3322.0343,1;1;1;1,0,0
811.0,-5386.460663768317,-2609201.401206948,4,300.9112;1852.4634;855.7531;1164.7861,859.7463;5292.7527;2445.0088;3327.9603,1;1;1;1,0,0
812.0,-5397.5035487217265,-2614598.9047556696,4,302.3288;1854.6537;858.6594;1166.8608,863.7966;5299.0106;2453.3127;3333.8880,1;1;1;1,0,0
813.0,-5408.548053311465,-2620007.4528089813,4,303.7463;1856.8449;861.5656;1168.9361,867.8467;5305.2712;2461.6159;3339.8174,1;1;1;1,0,0
814.0,-5419.594167530215,-2625427.0469765114,4,305.1638;1859.0370;864.4715;1171.0120,871.8966;5311.5344;2469.9186;3345.7485,1;1;1;1,0,0
815.0,-5430.641881450869,-2630857.6888579624,4,306.5812;1861.2301;867.3772;1173.0884,875.9463;5317.8003;2478.2207;3351.6813,1;1;1;1,0,0
816.0,-5441.691185225757,-2636299.380043188,4,307.9985;1863.4241;870.2827;1175.1655,879.9958;5324.0689;2486.5221;3357.6157,1;1;1;1,0,0
817.0,-5452.742069085873,-2641752.122112274,4,309.4158;1865.6190;873.1881;1177.2432,884.0452;5330.3401;2494.8230;3363.5519,1;1;1;1,0,0
818.0,-5463.794523340118,-2647215.9166356144,4,310.8330;1867.8149;876.0931;1179.3214,888.0943;5336.6140;2503.1233;3369.4896,1;1;1;1,0,0
819.0,-5474.848538374549,-2652690.765173989,4,312.2501;1870.0116;878.9980;1181.4002,892.1432;5342.8904;2511.4229;3375.4291,1;1;1;1,0,0
820.0,-5485.904104651634,-2658176.6692786403,4,313.6672;1872.2093;881.9027;1183.4795,896.1920;5349.1694;2519.7220;3381.3701,1;1;1;1,0,0
821.0,-5496.961212709515,-2663673.63049135,4,315.0842;1874.4079;884.8072;1185.5595,900.2406;5355.4511;2528.0205;3387.3128,1;1;1;1,0,0
822.0,-5508.01985316129,-2669181.650344511,4,316.5011;1876.6073;887.7114;1187.6400,904.2889;5361.7353;2536.3184;3393.2571,1;1;1;1,0,0
823.0,-5519.080016694277,-2674700.7303612055,4,317.9180;1878.8077;890.6155;1189.7211,908.3371;5368.0220;2544.6157;3399.2030,1;1;1;1,0,0
824.0,-5530.141694069329,-2680230.872055275,4,319.3348;1881.0090;893.5193;1191.8027,912.3851;5374.3113;2552.9124;3405.1505,1;1;1;1,0,0
825.0,-5541.204876120105,-2685772.076931395,4,320.7515;1883.2111;896.4230;1193.8849,916.4329;5380.6032;2561.2085;3411.0996,1;1;1;1,0,0
826.0,-5552.269553752391,-2691324.3464851477,4,322.1682;1885.4141;899.3264;1195.9676,920.4805;5386.8975;2569.5040;3417.0503,1;1;1;1,0,0
827.0,-4350.834094698258,-2695675.180579846,4,323.4113;945.0281;901.8303;1198.1568,924.0324;2700.0803;2576.6580;3423.3051,1;1;1;1,0,0
828.0,-4361.991328842151,-2700037.171908688,4,324.7745;947.3497;904.6341;1200.3461,927.9271;2706.7133;2584.6689;3429.5603,1;1;1;1,0,0
829.0,-4373.1494552840995,-2704410.321363972,4,326.1376;949.6719;907.4378;1202.5357,931.8218;2713.3482;2592.6794;3435.8162,1;1;1;1,0,0
